,title,model_family,downstream_application,omics_modality
12,Unveiling DEFB1 as a novel driver and promising therapeutic target in lung adenocarcinoma.,perturbation_prediction,perturbation_prediction,unspecified
13,Identification of a new population of Tnn progenitors to form tendon enthesis fibrocartilage.,spatial_omics,"spatial_reconstruction, trajectory_inference, multimodal_integration",Spatial
14,Re-analysis of single-cell transcriptomics reveals a critical role of TNS1 gene in driving contractile VSMC transdifferentiation into macrophage-like SMC and atherosclerotic plaque instability.,graph_neural_network,"biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
15,Suggested experimental design and computational modeling to infer single-cell lipid dynamics from a single destructive measurement.,hybrid_symbolic_statistical,cell_type_annotation,unspecified
16,Boosting Sensory Nerve-to-Bone Interactions Enhances Hedgehog Mediated Calvarial Bone Repair.,foundation_scale_pretraining,trajectory_inference,unspecified
17,High ALG1 Expression Is Correlated With Poor Prognosis and the Immune Microenvironment in Glioma.,foundation_scale_pretraining,"perturbation_prediction, biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
18,Biomimetic nanodecoys remodel the mechano-immune microenvironment to potentiate checkpoint blockade in colorectal cancer.,hybrid_symbolic_statistical,unspecified,unspecified
19,Physiological and anatomical determinants of placental drug transfer.,multimodal_fusion,"perturbation_prediction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
20,PD-1/PD-L1 Signaling in Non-ICI Myocarditis.,hybrid_symbolic_statistical,multimodal_integration,Protein/CITE-seq
21,The B7 family subgroup reflects tumor cell heterogeneity and patient post-operative prognosis in gallbladder cancer.,hybrid_symbolic_statistical,"perturbation_prediction, biomarker_discovery",scRNA-seq
22,Macrophage polarization as a therapeutic target in lung diseases: From pathogenesis to precision intervention.,multimodal_fusion,"biomarker_discovery, batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
23,Advances in the Genetics and Molecular Biology of Brain Arteriovenous Malformations.,hybrid_symbolic_statistical,biomarker_discovery,scRNA-seq
24,Derivation of functional early gestation decidual natural killer cell subtypes from induced pluripotent stem cells.,foundation_scale_pretraining,multimodal_integration,"scRNA-seq, Protein/CITE-seq"
25,Bioinformatics and Immunohistochemistry Reveal the Diagnostic and Mechanistic Role of the Cuproptosis-Related Genes SMOC2/THY1 in Liver Fibrosis.,graph_neural_network,"perturbation_prediction, biomarker_discovery",scRNA-seq
26,18-β-glycyrrhetinic acid facilitates nuclear-mitochondrial communications to alleviate oxidative stress through HMGB1-cGAS-Mul1 axis in tendinopathy.,foundation_scale_pretraining,unspecified,"scRNA-seq, Protein/CITE-seq, Methylation/Epigenomics"
27,Roles of mitophagy and immune infiltration in Parkinson's disease: new perspectives from bioinformatics analysis and A53T transgenic mice.,hybrid_symbolic_statistical,biomarker_discovery,scRNA-seq
28,Single-cell and spatial dissection of IGF2BP3-driven endothelial reprogramming underlying microvascular invasion in hepatocellular carcinoma.,graph_neural_network,spatial_reconstruction,"scRNA-seq, Spatial"
29,Hydroxy-Safflower Yellow A Inhibits Breast Cancer Growth via Tumor-Associated Macrophages/CCL5/Tissue Resident Memory T Cell Signaling.,foundation_scale_pretraining,unspecified,scRNA-seq
30,In vivo exposure to CXCL12-high CAFs and chronic CXCL12 stimulation in vitro is sufficient to enhance metastasis of ER-positive breast cancer.,foundation_scale_pretraining,biomarker_discovery,unspecified
31,Oncogenic and tumor-suppressive forces converge on a progenitor niche at the benign-to-malignant transition.,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
32,Thy1 Periosteal Osteoprogenitors Contribute to Mandibular Bone Defect Healing in Mice.,hybrid_symbolic_statistical,"generation, trajectory_inference, multimodal_integration",scRNA-seq
33,In situ and real-time monitoring of intracellular activities in single live cells using a nanopore probe.,foundation_scale_pretraining,cell_type_annotation,unspecified
34,FABP7 controls radial glial scaffold stability during human cortical development.,foundation_scale_pretraining,"perturbation_prediction, multimodal_integration",scRNA-seq
35,Interpretable multiple instance learning for hematologic diagnosis from peripheral blood smears.,foundation_scale_pretraining,cell_type_annotation,unspecified
36,A multi-modal diffusion model with dual-cross-attention for multi-omics data generation and translation.,multimodal_fusion,"perturbation_prediction, batch_correction, generation, multimodal_integration",unspecified
37,Signaling cascades shape functional subpopulations of cortical astrocytes in male wild-type mice and APP/PS1dE9 Alzheimer's disease model.,foundation_scale_pretraining,biomarker_discovery,unspecified
38,Cancer-Associated Fibroblasts Promote Tumor Immunosuppression in Hepatocellular Carcinoma via the NNMT-ANGPTL4 Axis.,foundation_scale_pretraining,spatial_reconstruction,scRNA-seq
39,Design of Single-Atom Nanozymes for Precision Treatment of Erectile Dysfunction with Integrated Single-Cell RNA Sequencing and Machine Learning.,foundation_scale_pretraining,unspecified,scRNA-seq
40,"Neural signaling contributes to heart formation and growth in the invertebrate chordate, Ciona robusta.",perturbation_prediction,"perturbation_prediction, trajectory_inference",scRNA-seq
41,Integrative analysis and functional validation identified palmitoylated PHGDH as a therapeutic target for colon adenocarcinoma.,multimodal_fusion,"perturbation_prediction, biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
42,BCRInsight: an antibody language model to decode biological signals from BCR sequences.,foundation_scale_pretraining,biomarker_discovery,unspecified
43,GDSim: accurate simulation for single-cell transcriptomes based on the guided diffusion model.,multimodal_fusion,cell_type_annotation,scRNA-seq
44,Integration of Bulk and Single-Cell RNA Sequencing Analyses in Biomedicine.,transformer_masked_lm,"cell_type_annotation, batch_correction, spatial_reconstruction",scRNA-seq
45,AI-Driven BCR Modeling for Precision Immunology.,graph_neural_network,multimodal_integration,unspecified
46,Ochratoxin A and Clear Cell Renal Cell Carcinoma: Exploring Potential Molecular Links Through Network Toxicology and Machine Learning.,graph_neural_network,"biomarker_discovery, generation, multimodal_integration","scRNA-seq, Protein/CITE-seq"
47,Aged automobile cabin air filters as secondary pollution sources: mechanistic insights into NLRP3 inflammasome activation and discovery of a natural inhibitor.,foundation_scale_pretraining,cell_type_annotation,unspecified
48,Cholangiocyte Biology in Primary Sclerosing Cholangitis and Other Cholangiopathies: .,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial, Methylation/Epigenomics"
49,Geranium: Multimodal Retrieval of Genomics Data Visualizations.,multimodal_fusion,multimodal_integration,Methylation/Epigenomics
50,Integrated Genetic Networks and Epigenetic Regulation inTooth Development and Maturation.,multimodal_fusion,"spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial, Methylation/Epigenomics"
51,Glandular Cells of Forest Musk Deer Autonomously Synthesize Sex Steroid Hormones.,foundation_scale_pretraining,unspecified,scRNA-seq
52,"Integrated bulk RNA-seq and scRNA-seq identification of a novel ""PET--"" transcriptional axis in lung adenocarcinoma driven by polyethylene terephthalate exposure.",multimodal_fusion,"cell_type_annotation, biomarker_discovery, multimodal_integration",Protein/CITE-seq
53,Integrating Radiomics and Computational Pathology to Predict Early Recurrence of Pancreatic Ductal Adenocarcinoma and Uncover Its Biological Basis in Tumor Microenvironment.,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
54,PEPITEM Regulates the Synovial Microenvironment During Immune-Mediated Inflammatory Arthritis to Limit Disease.,foundation_scale_pretraining,multimodal_integration,Protein/CITE-seq
55,Ligand-based directed differentiation to produce granulosa-like cells expressing steroidogenic enzyme genes.,foundation_scale_pretraining,"generation, trajectory_inference, multimodal_integration","scRNA-seq, Protein/CITE-seq"
56,Super-enhancer-driven recruitment of C/EBPβ by SULT1B1 is implicated in metabolic dysfunction-associated steatotic liver disease progression.,foundation_scale_pretraining,perturbation_prediction,scRNA-seq
57,Hexokinase 3 promoted cytokine production of monocytes by targeting metabolic reprogramming and histone lactylation in sepsis.,foundation_scale_pretraining,"perturbation_prediction, biomarker_discovery",unspecified
58,Letter to the Editor: Single-cell and multi-omics integrative modeling identifies mitochondrial gene HSPE1 as a therapeutic target in osteosarcoma.,multimodal_fusion,multimodal_integration,unspecified
59,Comprehensive guide for optimizing octopus immune cell preparation to enhance single cell RNA sequencing success.,foundation_scale_pretraining,generation,scRNA-seq
60,EpCAM supports exit from pluripotency of embryonic stem cells via Eomes.,hybrid_symbolic_statistical,"generation, trajectory_inference",scRNA-seq
61,Utilising Machine Learning and Single-Cell Analysis to Uncover SKCM Metastasis-Related Genes.,hybrid_symbolic_statistical,"cell_type_annotation, biomarker_discovery",scRNA-seq
62,Amoeboid-mesenchymal transition and the proteolytic control of cancer invasion plasticity.,spatial_omics,"perturbation_prediction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
63,Combined single-cell transcriptome and Mendelian randomization to identify and validate prognostic genes associated with endoplasmic reticulum stress and butyrate metabolism in lung adenocarcinoma.,hybrid_symbolic_statistical,"cell_type_annotation, perturbation_prediction, biomarker_discovery",scRNA-seq
64,Generative machine learning unlocks the first proteome-wide image of human cells.,multimodal_fusion,"cell_type_annotation, perturbation_prediction, batch_correction, generation, spatial_reconstruction, multimodal_integration","Protein/CITE-seq, Spatial"
65,GREmLN: A Cellular Graph Structure Aware Transcriptomics Foundation Model.,perturbation_prediction,"cell_type_annotation, perturbation_prediction, multimodal_integration","scRNA-seq, Protein/CITE-seq"
66,Transcriptome-based cell type assignment for kidney cell culture models.,foundation_scale_pretraining,"cell_type_annotation, biomarker_discovery, batch_correction, generation",scRNA-seq
67,Chitin Derivative-Based Detachable Microneedles for Effective Treatment of Androgenic Alopecia.,foundation_scale_pretraining,"generation, multimodal_integration",Protein/CITE-seq
68,TarDis: Achieving robust and structured disentanglement of multiple covariates.,multimodal_fusion,"batch_correction, generation",unspecified
69,Linking rare variants to cell-type function in profound autism with brain transcriptomics and foundation models.,perturbation_prediction,"perturbation_prediction, multimodal_integration","scRNA-seq, Protein/CITE-seq"
70,PD-L1 Senescent Macrophages Reshape the Immune Microenvironment of Periodontitis via PI3K/AKT Pathway Activation.,foundation_scale_pretraining,perturbation_prediction,scRNA-seq
71,Targeting ANXA1/TRKA axis enhances immunotherapy sensitivity in neural invasion-positive gastric cancer.,hybrid_symbolic_statistical,unspecified,scRNA-seq
72,Single-Cell and Spatial Omics: Methods and Applications.,multimodal_fusion,"biomarker_discovery, batch_correction, spatial_reconstruction, multimodal_integration",Spatial
73,TriPDCL: A Tri-Pathway Prototype-Driven Contrastive Learning Framework for Cross-Modality Single-Cell Integration.,multimodal_fusion,batch_correction,unspecified
74,Metabolomics across scales: from single cells to population studies.,multimodal_fusion,"batch_correction, spatial_reconstruction, multimodal_integration",Spatial
75,Fetal-restricted hematopoietic progenitors arise from hemogenic endothelium in vitelline and umbilical arteries.,spatial_omics,"cell_type_annotation, spatial_reconstruction, trajectory_inference","scRNA-seq, Spatial"
76,Multiomics and deep learning dissect regulatory syntax in human development.,hybrid_symbolic_statistical,cell_type_annotation,scATAC-seq
77,The deubiquitinase activity of CYLD is required for B cell differentiation.,perturbation_prediction,"perturbation_prediction, generation, multimodal_integration",Protein/CITE-seq
78,EZH2-Mediated Epigenetic Modifications Induce Pyroptosis in Dental Pulp Endothelial Cells via Activation of NLRP6 Inflammasome During Pulpitis Development.,foundation_scale_pretraining,perturbation_prediction,scRNA-seq
79,Integrative profiling of lactylation reveals prognostic biomarkers and an immunosuppressive niche in acute myeloid leukemia.,graph_neural_network,"perturbation_prediction, biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
80,BEASTsim-a benchmarking and analysis platform for spatial transcriptomics simulations.,multimodal_fusion,"batch_correction, generation, spatial_reconstruction","scRNA-seq, Spatial"
81,SIRT1 mediates KU70 to maintain genomic stability in spermatogonial stem cells via the NHEJ repair pathway.,foundation_scale_pretraining,"perturbation_prediction, biomarker_discovery",unspecified
82,Prostaglandin E-driven dedifferentiation of Schwann cells leads to perineural invasion in pancreatic ductal adenocarcinoma.,spatial_omics,"spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
83,Androgen Receptor-Induced Lactoferrin Accelerates Prostate Tumorigenesis Through Modulating Ferroptosis.,foundation_scale_pretraining,perturbation_prediction,"scRNA-seq, Protein/CITE-seq"
84,Activation of ERBB4 Pathway Inhibits Pathological Transdifferentiation of Lung Epithelial Progenitors into CD66c Basal Cells in Severe Lung Injury.,foundation_scale_pretraining,"generation, trajectory_inference, multimodal_integration",scRNA-seq
85,Beyond Weight: Systems Biology and Precision Medicine Redefine Obesity as a Multidimensional Disease.,hybrid_symbolic_statistical,"cell_type_annotation, biomarker_discovery","scRNA-seq, Methylation/Epigenomics"
86,HCCaging: a liver physiological aging-related biomarker for hepatocellular carcinoma diagnosis based on transcriptome data.,hybrid_symbolic_statistical,biomarker_discovery,scRNA-seq
87,Multi-omics analysis and experimental validation reveal the IRF7-CXCL10 axis as a master regulator of microglial PCD in ischemic stroke.,graph_neural_network,"cell_type_annotation, perturbation_prediction, trajectory_inference, multimodal_integration",scRNA-seq
88,Exploratory identification of lycorine as a potential inhibitor of the ACP2/YME1L1 prognostic axis in esophageal squamous cell carcinoma: a multi-omics and computational hypothesis.,multimodal_fusion,multimodal_integration,unspecified
89,Eriodictyol Regulates Macrophage Polarization to Treat Rheumatoid Arthritis by Inhibiting Jumonji Domain-Containing Protein D3-Mediated Demethylation of Trimethylation of Lysine 27 on Histone H3: An Integrative Single Cell Sequencing and Experimental Validation Study.,foundation_scale_pretraining,"perturbation_prediction, multimodal_integration","scRNA-seq, scATAC-seq"
90,Estimating time since influenza virus exposure using single-cell proteomic data.,hybrid_symbolic_statistical,biomarker_discovery,unspecified
91,"Multi-omics integration and machine learning reveal gut-immune signatures in idiopathic pulmonary fibrosis: insights from bulk RNA-seq, single-cell profiles, spatial transcriptomics, and experimental validation.",multimodal_fusion,"perturbation_prediction, biomarker_discovery, batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
92,Multiomics integration of single-cell transcriptomics and bulk sequencing data identifies key biomarkers and predictive models for IBD subtype classification.,multimodal_fusion,"cell_type_annotation, biomarker_discovery, batch_correction",scRNA-seq
93,Integrative Multi-Omics and Single-Cell Analysis Reveal THOC3 and THOC7 as Oncogenic RNA Processing Regulators in Lung Adenocarcinoma.,multimodal_fusion,"cell_type_annotation, biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq, Methylation/Epigenomics"
94,Advancements in Spermatogenesis In Vitro: From Murine Success to Human Applications.,foundation_scale_pretraining,unspecified,unspecified
95,LILRB3 inhibition reverses immunosuppression in glioma: a nanoparticle-based therapeutic strategy.,multimodal_fusion,multimodal_integration,unspecified
96,In vivo visualization of lipophagy dynamics using the tfLiveDrop reporter mice.,hybrid_symbolic_statistical,generation,unspecified
97,Deciphering functional intra-tumoral heterogeneity in BRAF-driven mouse thyroid cancer reveals EMT trajectory and metabolic remodeling.,hybrid_symbolic_statistical,trajectory_inference,scRNA-seq
98,Deciphering oxidative stress-related heterogeneity and developing a prognostic signature for colorectal cancer.,foundation_scale_pretraining,biomarker_discovery,scRNA-seq
99,scAgeClock: a single-cell transcriptome-based human aging clock model using gated multi-head attention neural networks.,foundation_scale_pretraining,cell_type_annotation,scRNA-seq
100,Scupa: Single-cell unified polarization assessment of immune cells using the single-cell foundation model,foundation_scale_pretraining,"cell_type_annotation, generation",scRNA-seq
101,Sparse Autoencoders Reveal Interpretable Cell-Type Programs in Single-Cell Foundation Model Representations,variational_autoencoder,cell_type_annotation,unspecified
102,A cross-species foundation model for single cells,foundation_scale_pretraining,unspecified,unspecified
103,The Glioma Stem Cell Model in the Era of Single-Cell Genomics,hybrid_symbolic_statistical,unspecified,unspecified
104,CELLama: Foundation Model for Single Cell and Spatial Transcriptomics by Cell Embedding Leveraging Language Model Abilities,multimodal_fusion,"cell_type_annotation, batch_correction, spatial_reconstruction","scRNA-seq, Spatial"
105,scPlantFormer: A Lightweight Foundation Model for Plant Single-Cell Omics Analysis,foundation_scale_pretraining,cell_type_annotation,scRNA-seq
106,Systematic evaluation of single-cell foundation model interpretability reveals attention captures co-expression rather than unique regulatory signal,transformer_masked_lm,"cell_type_annotation, perturbation_prediction, multimodal_integration",Protein/CITE-seq
107,Deciphering single-cell epigenomic language with a foundation model,foundation_scale_pretraining,unspecified,unspecified
108,SpaChat: Integrating Single-Cell Foundation Model with Cell Graph Network for Spatially Resolved Cell-Cell Communication Inference,graph_neural_network,spatial_reconstruction,unspecified
109,CancerFoundation: A single-cell RNA sequencing foundation model to decipher drug resistance in cancer,multimodal_fusion,"perturbation_prediction, batch_correction",scRNA-seq
110,ProtoCloud: a Prototypical Self-explaining Model for Single-cell Analysis,foundation_scale_pretraining,"cell_type_annotation, biomarker_discovery",unspecified
111,WITHDRAWN: OKR-Cell: Open World Knowledge Aided Single-Cell Foundation Model with Robust Cross-Modal Cell-Language Pre-training,foundation_scale_pretraining,unspecified,unspecified
112,Illuminating cell states by a comprehensive and interpretable single cell foundation model,foundation_scale_pretraining,unspecified,unspecified
113,scGPT-spatial: Continual Pretraining of Single-Cell Foundation Model for Spatial Transcriptomics,multimodal_fusion,"batch_correction, generation, spatial_reconstruction","scRNA-seq, Spatial"
114,EpiFoundation: A Foundation Model for Single-Cell ATAC-seq via Peak-to-Gene Alignment,foundation_scale_pretraining,"cell_type_annotation, batch_correction, multimodal_integration","scRNA-seq, scATAC-seq"
115,A single-cell resolved cell-cell communication model explains lineage commitment in hematopoiesis,hybrid_symbolic_statistical,trajectory_inference,unspecified
116,RANKOR: A Machine Learning Model for Drug Repurposing on Individual-Level Single Cell Data,hybrid_symbolic_statistical,perturbation_prediction,unspecified
117,scLinguist: A pre-trained hyena-based foundation model for cross-modality translation in single-cell multi-omics,multimodal_fusion,"perturbation_prediction, multimodal_integration","scRNA-seq, Protein/CITE-seq"
118,"Lemur: A Single-Cell Foundation Model with Fine-Tuning-Free Hierarchical Cell-Type Generation for
                  <i>Drosophila melanogaster</i>",foundation_scale_pretraining,"cell_type_annotation, batch_correction, generation",unspecified
119,A quaternion model for single cell transcriptomics,spatial_omics,"spatial_reconstruction, multimodal_integration","scRNA-seq, scATAC-seq, Protein/CITE-seq, Spatial"
120,scGPT: Towards Building a Foundation Model for Single-Cell Multi-omics Using Generative AI,multimodal_fusion,"cell_type_annotation, perturbation_prediction, batch_correction, multimodal_integration",unspecified
121,mCAFoundation: A Single-Cell RNA Sequencing Foundation Model for Mouse Cell Types Annotations,foundation_scale_pretraining,cell_type_annotation,unspecified
122,EpiAgent: Foundation model for single-cell epigenomic data,multimodal_fusion,"cell_type_annotation, perturbation_prediction, batch_correction, generation, multimodal_integration","scRNA-seq, scATAC-seq, Methylation/Epigenomics"
123,Single-cell generalized trend model (scGTM): a flexible and interpretable model of gene expression trend along cell pseudotime,hybrid_symbolic_statistical,trajectory_inference,unspecified
124,Large Scale Foundation Model on Single-cell Transcriptomics,perturbation_prediction,"cell_type_annotation, perturbation_prediction",scRNA-seq
125,CLM-access: A Specialized Foundation Model for High-dimensional Single-cell ATAC-seq analysis,transformer_masked_lm,"cell_type_annotation, batch_correction, multimodal_integration","scRNA-seq, scATAC-seq, Methylation/Epigenomics"
126,An Efficient Foundation Model for Single-Cell Mouse Data Annotation,foundation_scale_pretraining,cell_type_annotation,unspecified
127,CellFeature: Cell and Feature Co-Embedding from Single-Cell Multi-Omics with Heterogeneous Graph Model,multimodal_fusion,multimodal_integration,unspecified
128,A robust model for cell type-specific interindividual variation in single-cell RNA sequencing data,foundation_scale_pretraining,"cell_type_annotation, trajectory_inference",scRNA-seq
129,Single-Cell and Transcriptome-Based Immune Cell-Related Prognostic Model in Clear Cell Renal Cell Carcinoma,graph_neural_network,biomarker_discovery,scRNA-seq
130,Integration of Temporal Single-Cell RNA Sequencing Data into Quantitative Systems Pharmacology Model of T Cell Differentiation,multimodal_fusion,batch_correction,unspecified
131,PathOmCLIP: Connecting tumor histology with spatial gene expression via locally enhanced contrastive learning of Pathology and Single-cell foundation model,multimodal_fusion,"biomarker_discovery, generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
132,SCARF: Single Cell ATAC-seq and RNA-seq Foundation model,multimodal_fusion,"cell_type_annotation, perturbation_prediction, batch_correction, multimodal_integration","scRNA-seq, scATAC-seq"
133,Benchmarking zero-shot single-cell foundation model embeddings for cellular dynamics reconstruction,foundation_scale_pretraining,"generation, trajectory_inference",scRNA-seq
134,Anoikis-related genes combined with single cell sequencing: Insights into model specification of lung adenocarcinoma and applicability for prognosis and therapy,hybrid_symbolic_statistical,unspecified,unspecified
135,CCIDeconv: Hierarchical model for deconvolution of subcellular cell-cell interactions in single-cell data,spatial_omics,"cell_type_annotation, spatial_reconstruction","scRNA-seq, Spatial"
136,Single-cell Pairwise Relationships Untangled by Composite Embedding model,foundation_scale_pretraining,biomarker_discovery,scRNA-seq
137,Reviewer #2 (Public Review): Defining cell type-specific immune responses in a mouse model of allergic contact dermatitis by single-cell transcriptomics,hybrid_symbolic_statistical,cell_type_annotation,unspecified
138,Imputation method for single-cell RNA-seq data using neural topic model,foundation_scale_pretraining,generation,scRNA-seq
139,DelSIEVE: cell phylogeny model of single nucleotide variants and deletions from single-cell DNA sequencing data,hybrid_symbolic_statistical,unspecified,unspecified
140,"AI-Driven Chemometrics for Multi-omics Data Integration: Advances, Challenges, and Future Directions.",variational_autoencoder,"batch_correction, spatial_reconstruction, multimodal_integration","Protein/CITE-seq, Spatial"
141,Deeptosis: A Deep Learning-Based Platform for Label-Free Discrimination of Apoptosis and Pyroptosis from Brightfield Microscopy.,hybrid_symbolic_statistical,"cell_type_annotation, batch_correction",unspecified
142,Decoupling Detection and Classification to Improve Morphological Phenotype Analysis of Sickle Red Blood Cells in Full-Scope Microscopy.,foundation_scale_pretraining,cell_type_annotation,unspecified
143,pertTF: context-aware AI modeling for genome-scale and cross-system perturbation prediction.,perturbation_prediction,"cell_type_annotation, perturbation_prediction",unspecified
144,From modality-specific to compositional foundation models for cell biology.,multimodal_fusion,"cell_type_annotation, spatial_reconstruction, multimodal_integration","scRNA-seq, scATAC-seq, Protein/CITE-seq, Spatial"
145,Clinical-grade autonomous cytopathology through whole-slide edge tomography.,hybrid_symbolic_statistical,cell_type_annotation,unspecified
146,Advances and challenges in single-cell RNA sequencing data analysis: a comprehensive review.,variational_autoencoder,"cell_type_annotation, batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, scATAC-seq, Spatial"
147,Deciphering RNA and protein expression discordance identifies TOP2A as a prognostic biomarker and potential therapeutic target in lung adenocarcinoma.,multimodal_fusion,"perturbation_prediction, biomarker_discovery, multimodal_integration","scRNA-seq, Protein/CITE-seq"
148,LazyNet: Interpretable ODE Modeling of Sparse CRISPR Single-Cell Screens Reveals New Biological Insights.,perturbation_prediction,perturbation_prediction,Protein/CITE-seq
149,Pattern Learning and Knowledge Distillation for Single-Cell Data Annotation.,multimodal_fusion,"cell_type_annotation, batch_correction",unspecified
150,Representation learning of single-cell RNA-seq data.,variational_autoencoder,trajectory_inference,scRNA-seq
151,A self-supervised machine learning pipeline for extracting information from live cell images at multiple doses and timepoints.,foundation_scale_pretraining,"cell_type_annotation, perturbation_prediction, batch_correction",unspecified
152,A novel expert-annotated single-cell dataset for thyroid cancer diagnosis with deep learning benchmarks.,foundation_scale_pretraining,cell_type_annotation,unspecified
153,AI-driven multi-omics integration in precision oncology: bridging the data deluge to clinical decisions.,graph_neural_network,"batch_correction, generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
154,A survey on large language models in biology and chemistry.,foundation_scale_pretraining,"generation, trajectory_inference, multimodal_integration",Protein/CITE-seq
155,Nicheformer: a foundation model for single-cell and spatial omics.,multimodal_fusion,"cell_type_annotation, batch_correction, generation, spatial_reconstruction","scRNA-seq, Spatial"
156,"Artificial intelligence, machine learning and omic data integration in osteoarthritis.",variational_autoencoder,"biomarker_discovery, batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial, Methylation/Epigenomics"
157,Artificial Intelligence and Multimodality Data Integration Decipher Tertiary Lymphoid Structure Maturity in Gastric Cancer.,multimodal_fusion,"cell_type_annotation, batch_correction, generation, multimodal_integration",unspecified
158,APOBEC3B Promotes SARS-CoV-2 Through Activation of PKR/eIF2⍺ and AMPD2 Dysregulation.,transformer_masked_lm,perturbation_prediction,scRNA-seq
159,Multi-modal characterization of metabolic and immune gene clusters in adrenocortical carcinoma treatment.,multimodal_fusion,perturbation_prediction,scRNA-seq
160,Deep learning in chromatin organization: from super-resolution microscopy to clinical applications.,multimodal_fusion,"perturbation_prediction, batch_correction, generation, spatial_reconstruction, multimodal_integration","scATAC-seq, Spatial"
161,CART-GPT: A T Cell-Informed AI Linguistic Framework for Interpreting Neurotoxicity and Therapeutic Outcomes in CAR-T Therapy.,foundation_scale_pretraining,"cell_type_annotation, generation",scRNA-seq
162,SANNO: A Graph-Transformer Enhanced Optimal Transport Tool for Spatial Transcriptomic Annotation.,spatial_omics,"cell_type_annotation, batch_correction, spatial_reconstruction","scRNA-seq, Spatial"
163,scGPT: end-to-end protocol for fine-tuned retinal cell type annotation.,foundation_scale_pretraining,cell_type_annotation,unspecified
164,A review of transformer models in drug discovery and beyond.,hybrid_symbolic_statistical,"perturbation_prediction, multimodal_integration",Protein/CITE-seq
165,CellMemory: hierarchical interpretation of out-of-distribution cells using bottlenecked transformer.,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
166,Integrating AI/ML and multi-omics approaches to investigate the role of TNFRSF10A/TRAILR1 and its potential targets in pancreatic cancer.,multimodal_fusion,"perturbation_prediction, batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
167,Transformer-based artificial intelligence on single-cell clinical data for homeostatic mechanism inference and rational biomarker discovery.,hybrid_symbolic_statistical,"biomarker_discovery, generation",unspecified
