,paper_id,title,authors,year,venue,doi,source_database
17,pmid_42003742,Boosting Sensory Nerve-to-Bone Interactions Enhances Hedgehog Mediated Calvarial Bone Repair.,Li Zhao; Xing Xin; Du Beicheng; Zhou Myles; Chen Austin Z,2026,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",10.1002/advs.75389,PubMed
18,pmid_42002825,High ALG1 Expression Is Correlated With Poor Prognosis and the Immune Microenvironment in Glioma.,Li Shuxiang; Xia Yang; Liu Qiang; Qian Xin; Liu Anhong,2026,Journal of cellular and molecular medicine,10.1111/jcmm.71142,PubMed
19,ss_2a78857d6deacff0c4423eaaf59f4e3512b72f9b,Untangling biological complexity: A deep learning approach to separating multiple signals in single-cell data,Christopher Yau,2026,Cell Genomics,10.1016/j.xgen.2026.101188,SemanticScholar
20,ss_39c65c941c16d58cb6c4512820e3ace3c6843917,"Single-cell multi-omics for biomarker discovery: Technologies, molecular mechanisms, applications and translational challenges",Poonam Sahu; Abinash Satapathy; Abhisek Satapathy; Trilochan Satapathy,2026,Letters in Drug Design &amp; Discovery,10.1016/j.lddd.2026.100286,SemanticScholar
21,pmid_41951931,Fetal-restricted hematopoietic progenitors arise from hemogenic endothelium in vitelline and umbilical arteries.,Barone Cristiana; Quattrini Giulia; Muratore Alessandro; Anselmi Giorgio; Park Yurim,2026,Nature cardiovascular research,10.1038/s44161-026-00793-8,PubMed
22,pmid_41951735,Multiomics and deep learning dissect regulatory syntax in human development.,Liu Betty B; Jessa Selin; Kim Samuel H; Ng Yan Ting; Higashino Soon Il,2026,Nature,10.1038/s41586-026-10326-9,PubMed
23,pmid_41951576,The deubiquitinase activity of CYLD is required for B cell differentiation.,Pseftogas Athanasios; Bordini Jessica; Gavriilidis George; Frenquelli Michela; Campanella Alessandro,2026,Cell death & disease,10.1038/s41419-026-08555-x,PubMed
24,pmid_41948911,EZH2-Mediated Epigenetic Modifications Induce Pyroptosis in Dental Pulp Endothelial Cells via Activation of NLRP6 Inflammasome During Pulpitis Development.,Zhou Weilin; Huang Weili; You Hongjing; Huang Zhixi; Zhou Jingye,2026,Mediators of inflammation,10.1155/mi/5876995,PubMed
25,pmid_41948341,Integrative profiling of lactylation reveals prognostic biomarkers and an immunosuppressive niche in acute myeloid leukemia.,Guo Zhibo; Zhang Wenlei; Gao Zengliang; Li Qi; Guo Dan,2026,Frontiers in immunology,10.3389/fimmu.2026.1765979,PubMed
26,pmid_41947420,BEASTsim-a benchmarking and analysis platform for spatial transcriptomics simulations.,Garcia-Carpintero Tomas Bordoy; Dyssel Lucas A D T; Peter Kristof; Hansen Nikolaj F H; Straer Lena J,2026,Bioinformatics,10.1093/bib/bbag144,PubMed
27,pmid_41946691,SIRT1 mediates KU70 to maintain genomic stability in spermatogonial stem cells via the NHEJ repair pathway.,Zhou Fang; Xiao Yanli; Yang Qiaorui; Ju Wenhan; Xin Xin,2026,Cell death & disease,10.1038/s41419-026-08710-4,PubMed
28,pmid_41946682,Prostaglandin E-driven dedifferentiation of Schwann cells leads to perineural invasion in pancreatic ductal adenocarcinoma.,Wang Ling; Liu Qicai; Zhang Zhibo; Yang Shizhong; Tang Juan,2026,Signal transduction and targeted therapy,10.1038/s41392-026-02648-x,PubMed
29,pmid_41958248,Chitin Derivative-Based Detachable Microneedles for Effective Treatment of Androgenic Alopecia.,Zhang Jiaxue; Zhang Yijia; Yang Ying; Bai Wenhui; Wang Zhiqi,2026,Advanced healthcare materials,10.1002/adhm.202504691,PubMed
30,pmid_41956095,TarDis: Achieving robust and structured disentanglement of multiple covariates.,Inecik Kemal; Kara Aleyna; Rose Antony; Haniffa Muzlifah; Theis Fabian J,2026,Cell Systems,10.1016/j.cels.2026.101573,PubMed
31,pmid_41956070,Linking rare variants to cell-type function in profound autism with brain transcriptomics and foundation models.,Dubuc Alma; Renne Thomas; Huguet Guillaume; Jacquemont Sebastien; Nowakowski Tomasz,2026,Cell genomics,10.1016/j.xgen.2026.101192,PubMed
32,pmid_41955619,PD-L1 Senescent Macrophages Reshape the Immune Microenvironment of Periodontitis via PI3K/AKT Pathway Activation.,Ren Shanshan; Mo Haokun; Chen Lulu; Liao Wei; Yang Yao,2026,Oral diseases,10.1111/odi.70337,PubMed
33,pmid_41954859,Targeting ANXA1/TRKA axis enhances immunotherapy sensitivity in neural invasion-positive gastric cancer.,Jiang Tianlu; Zhou Peng; Shen Yikai; Lin Jie; Li Ying,2026,Molecular biomedicine,10.1186/s43556-026-00444-1,PubMed
34,pmid_41953641,Single-Cell and Spatial Omics: Methods and Applications.,Cen Xiaoping; Huang Xiaolan; Deng Enjin; Gong Xue; Tan Na,2026,MedComm,10.1002/mco2.70713,PubMed
35,pmid_41952315,TriPDCL: A Tri-Pathway Prototype-Driven Contrastive Learning Framework for Cross-Modality Single-Cell Integration.,Xiong Xiaoyun; Zhang Chengdong; Yang Fengnan; Wang Shaoqing; Zhang Yuanyuan,2026,Journal of chemical information and modeling,10.1021/acs.jcim.6c00436,PubMed
36,pmid_41951964,Metabolomics across scales: from single cells to population studies.,Alexandrov Theodore; Zamboni Nicola,2026,Nature,10.1038/s41586-026-10277-1,PubMed
37,pmid_41963494,Comprehensive guide for optimizing octopus immune cell preparation to enhance single cell RNA sequencing success.,Costa M M; Ferreiros-Vidal I; Salas A; Dios S; Gambon F,2026,Scientific reports,10.1038/s41598-026-47700-6,PubMed
38,pmid_41963283,EpCAM supports exit from pluripotency of embryonic stem cells via Eomes.,Gong Ningyue; Gouda Mahesh; Balaz Ana Marija; Song Jiahang; Kranz Gisela,2026,Cell death & disease,10.1038/s41419-026-08734-w,PubMed
39,pmid_41961982,Utilising Machine Learning and Single-Cell Analysis to Uncover SKCM Metastasis-Related Genes.,Liao Zhiwei; Chen Weiming; He Yingdi; Zheng Yichen; Chen Xiaonan,2026,IET systems biology,10.1049/syb2.70061,PubMed
40,pmid_41961858,Amoeboid-mesenchymal transition and the proteolytic control of cancer invasion plasticity.,Olson Adam W; Li Jonathan; Li Xiao-Yan; King Lana; Jiang Long,2026,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.2520717123,PubMed
41,pmid_41960145,Combined single-cell transcriptome and Mendelian randomization to identify and validate prognostic genes associated with endoplasmic reticulum stress and butyrate metabolism in lung adenocarcinoma.,Li Jiaxin; Shen Fangling; Zha Jianhua; Zhou Molin; Yi Ningbo,2026,Frontiers in genetics,10.3389/fgene.2026.1781852,PubMed
42,pmid_41959450,Generative machine learning unlocks the first proteome-wide image of human cells.,Sun Huangqingbo; Kahnert Konstantin; Hansen Jan N; Leineweber William; Li Mingyang,2026,bioRxiv : the preprint server for biology,10.64898/2026.03.31.715748,PubMed
43,pmid_41959137,GREmLN: A Cellular Graph Structure Aware Transcriptomics Foundation Model.,Zhang Mingxuan; Swamy Vinay; Cassius Rowan; Dupire Leo; Kanatsoulis Charilaos,2026,bioRxiv : the preprint server for biology,10.1101/2025.07.03.663009,PubMed
44,pmid_41959092,Transcriptome-based cell type assignment for kidney cell culture models.,Schoberth Mona; Bohm Samuel; Borisov Oleg; Li Yong; Greve Gabriele,2026,bioRxiv : the preprint server for biology,10.64898/2026.03.30.715265,PubMed
45,pmid_41972586,Glandular Cells of Forest Musk Deer Autonomously Synthesize Sex Steroid Hormones.,An Xian; Han Xiangyu; Huang Jinming; Zhang Zexiu; Lou Zhiyi,2026,Biology,10.3390/biology15070583,PubMed
46,pmid_41969450,"Integrated bulk RNA-seq and scRNA-seq identification of a novel ""PET--"" transcriptional axis in lung adenocarcinoma driven by polyethylene terephthalate exposure.",Su Qian; Guo Juanjuan; Gu Yilin; Xu Wang; Cao Haihong,2026,Translational cancer research,10.21037/tcr-2025-1-2630,PubMed
47,pmid_41969272,Integrating Radiomics and Computational Pathology to Predict Early Recurrence of Pancreatic Ductal Adenocarcinoma and Uncover Its Biological Basis in Tumor Microenvironment.,Cheng Sihang; Cong Fuze; Zhang Shenbo; Lv Rui; Zhang Wenjia,2026,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",10.1002/advs.202523985,PubMed
48,pmid_41968960,PEPITEM Regulates the Synovial Microenvironment During Immune-Mediated Inflammatory Arthritis to Limit Disease.,Wahid Mussarat; Kemble Samuel; Abudu Oladimeji; Saviano Anella; Mahony Christopher,2026,"Arthritis & rheumatology (Hoboken, N.J.)",10.1002/art.70108,PubMed
49,pmid_41966789,Ligand-based directed differentiation to produce granulosa-like cells expressing steroidogenic enzyme genes.,Kubo Hana; Lu Lina; VanZanten Maya; Thyagraj Janavi; Saunders Diane C,2026,Stem cell research,10.1016/j.scr.2026.103978,PubMed
50,pmid_41964026,Super-enhancer-driven recruitment of C/EBPβ by SULT1B1 is implicated in metabolic dysfunction-associated steatotic liver disease progression.,Lu Xuejin; Yan Yuxuan; Lv Jing; Pei Xingyue; Zhao Mingtao,2026,Clinical epigenetics,10.1186/s13148-026-02121-0,PubMed
51,pmid_41964014,Hexokinase 3 promoted cytokine production of monocytes by targeting metabolic reprogramming and histone lactylation in sepsis.,Lian Cuiying; Xu Qizhong; Shi Hongjian; Xie Yuxuan; Fang Jianwei,2026,Clinical epigenetics,10.1186/s13148-026-02129-6,PubMed
52,pmid_41963914,Letter to the Editor: Single-cell and multi-omics integrative modeling identifies mitochondrial gene HSPE1 as a therapeutic target in osteosarcoma.,Li Xueyang; Liu Yiheng; He Hongtao,2026,Journal of translational medicine,10.1186/s12967-026-07926-4,PubMed
53,crossref_10.64898_2026.02.06.704364,ProtoCloud: a Prototypical Self-explaining Model for Single-cell Analysis,Guo Kaiyun; Ding Jiarui,2026,,10.64898/2026.02.06.704364,Crossref
54,crossref_10.64898_2026.01.09.698573,WITHDRAWN: OKR-Cell: Open World Knowledge Aided Single-Cell Foundation Model with Robust Cross-Modal Cell-Language Pre-training,Wang Haoran; Zhang Xuanyi; Fang Shuangsang; Ran Longke; Deng Ziqing,2026,,10.64898/2026.01.09.698573,Crossref
55,crossref_10.1038_s41467-026-70071-5,Illuminating cell states by a comprehensive and interpretable single cell foundation model,Wang Jue; Tan Cheng; Gao Zhangyang; Shao Sida; Liu Shiping,2026,Nature Communications,10.1038/s41467-026-70071-5,Crossref
56,pmid_41935096,scAgeClock: a single-cell transcriptome-based human aging clock model using gated multi-head attention neural networks.,Xie Gangcai,2026,npj aging,10.1038/s41514-026-00379-5,PubMed
57,crossref_10.2139_ssrn.6304512,Sparse Autoencoders Reveal Interpretable Cell-Type Programs in Single-Cell Foundation Model Representations,Kendiukhov Ihor,2026,,10.2139/ssrn.6304512,Crossref
58,crossref_10.21203_rs.3.rs-9082476_v1,Systematic evaluation of single-cell foundation model interpretability reveals attention captures co-expression rather than unique regulatory signal,Kendiukhov Ihor,2026,,10.21203/rs.3.rs-9082476/v1,Crossref
59,pmid_41939867,"Multi-omics integration and machine learning reveal gut-immune signatures in idiopathic pulmonary fibrosis: insights from bulk RNA-seq, single-cell profiles, spatial transcriptomics, and experimental validation.",Hu Zhengyu; Wang Jiaqi; Yu Jialin; Hu Zheqing; Xue Jing,2026,Frontiers in immunology,10.3389/fimmu.2026.1730289,PubMed
60,pmid_41939783,Multiomics integration of single-cell transcriptomics and bulk sequencing data identifies key biomarkers and predictive models for IBD subtype classification.,Song Linghui; Chen Zian; Yao Dongmei; Ma Huihui; Wang Quanxu,2026,Frontiers in medicine,10.3389/fmed.2026.1729642,PubMed
61,pmid_41938520,Integrative Multi-Omics and Single-Cell Analysis Reveal THOC3 and THOC7 as Oncogenic RNA Processing Regulators in Lung Adenocarcinoma.,Kumar Sachin; Wu Chung-Che; Solomon Dahlak Daniel; Yen Meng-Chi; Yeh I-Jeng,2026,International journal of medical sciences,10.7150/ijms.128975,PubMed
62,pmid_41937972,Advancements in Spermatogenesis In Vitro: From Murine Success to Human Applications.,Kamoshita Maki,2026,Reproductive medicine and biology,10.1002/rmb2.70044,PubMed
63,pmid_41937130,LILRB3 inhibition reverses immunosuppression in glioma: a nanoparticle-based therapeutic strategy.,Yu Jiefu; Cui Xiangguo; Shao Guangcai; Li Jiaxin; Li Qi,2026,Journal of nanobiotechnology,10.1186/s12951-026-04287-4,PubMed
64,pmid_41935632,In vivo visualization of lipophagy dynamics using the tfLiveDrop reporter mice.,Gong Siqiao; Zhang Qiaofei; Wu Hongluan; Chen Xiaocui; Liu Lijing,2026,Journal of lipid research,10.1016/j.jlr.2026.101033,PubMed
65,pmid_41935217,Deciphering functional intra-tumoral heterogeneity in BRAF-driven mouse thyroid cancer reveals EMT trajectory and metabolic remodeling.,Yu Jing; Shen Siyi; Luo Rongkui; Qiu Tianyuan; Chen Jingjing,2026,Oncogene,10.1038/s41388-026-03742-8,PubMed
66,pmid_41935137,Deciphering oxidative stress-related heterogeneity and developing a prognostic signature for colorectal cancer.,Ma Linyun; Luo Wenqiang; Liu Enrui; Zhang Shuang; Zheng Lei,2026,Scientific reports,10.1038/s41598-026-46560-4,PubMed
67,pmid_41945871,Androgen Receptor-Induced Lactoferrin Accelerates Prostate Tumorigenesis Through Modulating Ferroptosis.,Liu Can; Peng Qiu; Zhang Xiaoyue; Li Zhengshuo; Wu Yangge,2026,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",10.1002/advs.202520109,PubMed
68,pmid_41944369,Activation of ERBB4 Pathway Inhibits Pathological Transdifferentiation of Lung Epithelial Progenitors into CD66c Basal Cells in Severe Lung Injury.,Lin Kaijun; Deng Xinran; Wang Haonan; Jiang Yamei; Sun Jian,2026,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",10.1002/advs.202519151,PubMed
69,pmid_41944002,Beyond Weight: Systems Biology and Precision Medicine Redefine Obesity as a Multidimensional Disease.,Liu Yuqing; Yang Yuanqin; Zhu Lemei; Peng Weijun,2026,"Diabetes, obesity & metabolism",10.1111/dom.70724,PubMed
70,pmid_41942446,HCCaging: a liver physiological aging-related biomarker for hepatocellular carcinoma diagnosis based on transcriptome data.,Yu Bin; Zhang Yajuan; Tang Yong; Hu Meiling; Wei Jinfen,2026,npj aging,10.1038/s41514-026-00370-0,PubMed
71,pmid_41941036,Multi-omics analysis and experimental validation reveal the IRF7-CXCL10 axis as a master regulator of microglial PCD in ischemic stroke.,Lai Yongxing; Lin Peiqiang; Zhang Kexin; Hong Wenyao; Zheng Mouwei,2026,Cell biology and toxicology,10.1007/s10565-026-10177-0,PubMed
72,pmid_41940976,Exploratory identification of lycorine as a potential inhibitor of the ACP2/YME1L1 prognostic axis in esophageal squamous cell carcinoma: a multi-omics and computational hypothesis.,Chen Fang; Zhang Junpeng; Xu Ying; Wang Yalin; Cheng Jian,2026,Molecular genetics and genomics : MGG,10.1007/s00438-026-02402-6,PubMed
73,pmid_41940585,Eriodictyol Regulates Macrophage Polarization to Treat Rheumatoid Arthritis by Inhibiting Jumonji Domain-Containing Protein D3-Mediated Demethylation of Trimethylation of Lysine 27 on Histone H3: An Integrative Single Cell Sequencing and Experimental Validation Study.,Li Zixuan; Pei Huan; Nie Yuhang; Fu Zhenlin; Long Yuan,2026,Phytotherapy research : PTR,10.1002/ptr.70335,PubMed
74,pmid_41939909,Estimating time since influenza virus exposure using single-cell proteomic data.,Rizzo Nervo Klodiana; Hajiakhoond Bidoki Neda; Chen Han; Rahil Zainab; Bjornson Zach,2026,Frontiers in immunology,10.3389/fimmu.2026.1787198,PubMed
75,ss_b7ab619fbe1a02abcddebdfb7a9cfe309325f0b6,Abstract 85: Path2Marker: Cell-level prediction of multiplex protein expression from routine H&E slides.,A. Stemmer; Tiangen Chang; T. Cantore; S. Dhruba; Sumona Biswas,2026,Cancer Research,10.1158/1538-7445.am2026-85,SemanticScholar
76,ss_a9528b3b2a7e7c8c3cd0dc2fe199599726cf7b4f,"Abstract 1434: Scalable, unsupervised deep learning frameworks for rare event detection and single cell phenotyping in enrichment free liquid biopsies.",Dean Tessone; Amin Naghdloo; Javier Murgoitio-Esandi; J. Mason; A. Oberai,2026,Cancer Research,10.1158/1538-7445.am2026-1434,SemanticScholar
77,ss_28528c6642fd89976f037bbf36b533129eb79287,Deep learning and machine learning integration of radiomics and transcriptomics predicts response-adapted radiotherapy outcome and radiosensitivity in resectable locally advanced laryngeal carcinoma,Shafat Ujjahan; A. S. M. Noman; Sarah S. Al-Johani; Z. Shinwari; A. Alaiya,2026,Frontiers Artif. Intell.,10.3389/frai.2025.1738174,SemanticScholar
78,pmid_41447890,Remodeling of non-coding RNA regulatory networks: Decoding the pathological mechanisms and new therapeutic paradigms of cardiovascular diseases.,Zhang Wangzheqi; Duan Lei; Wang Changli; Liao Yan; Zhao Rui,2026,Physics of life reviews,10.1016/j.plrev.2025.12.007,PubMed
79,pmid_41043336,EnsembleRegNet: Interpretable deep learning for transcriptional network inference from single-cell RNA-seq.,Alawad Duaa Mohammad; Katebi Ataur; Hoque Md Tamjidul,2026,Computational biology and chemistry,10.1016/j.compbiolchem.2025.108702,PubMed
80,crossref_10.5220_0014460800004070,Chromatin States Prediction and Comparison across BRCA Cell Lines Using Deep Learning Provide Insights for Cell State Transitions,Lyu Xuejing; Zhang Jing; Cao Rui; Tucker-Kellogg Greg,2026,Proceedings of the 19th International Joint Conference on Biomedical Engineering Systems and Technologies,10.5220/0014460800004070,Crossref
81,pmid_41975483,A sequence knowledge-guided deep learning method for single-cell multi-omics translation.,Zhao Mengyuan; Li Jiawei; Jiang Yanlin; Yan Jiahui; Tang Xinyue,2026,Genome Biology,10.1186/s13059-026-04070-6,PubMed
82,pmid_41930321,Multiomics Research Strategies in Cancer: A Growing and Innovative Field.,Du Zhenhua; Liu Xiaomei; Lv Zhi; Wang Bengang; Xia Yu,2026,MedComm,10.1002/mco2.70644,PubMed
83,pmid_41816284,Predicting and interpreting protein and phosphoprotein abundance from pan-cancer and single-cell transcriptomes.,Tsai Hui-Mei; Hsiao Tzu-Hung; Chiu Yu-Chiao; Huang Yufei; Chuang Eric Y,2026,iScience,10.1016/j.isci.2026.114815,PubMed
84,pmid_41803718,DGM: deep graph clustering with mincut for analysis of single-cell transcriptomics.,Liu Xi; Chen Xiaolin; Yang Wenqian; Yu Yong,2026,BMC genomics,10.1186/s12864-026-12694-y,PubMed
85,pmid_41645653,Digital Biomarkers for Precision Early Detection of Lung Cancer: Integrating AI-Driven Multi-Omics Into Clinical Pathways.,Bu Fan; Ling Zhi-Qiang,2026,Cancer medicine,10.1002/cam4.71578,PubMed
86,pmid_42010462,"AI-Driven Chemometrics for Multi-omics Data Integration: Advances, Challenges, and Future Directions.",Polu Picheswara Rao,2026,Critical reviews in analytical chemistry,10.1080/10408347.2026.2657553,PubMed
87,pmid_41999938,Deeptosis: A Deep Learning-Based Platform for Label-Free Discrimination of Apoptosis and Pyroptosis from Brightfield Microscopy.,Wang Haiji; Lin Shaofeng; Li Chenbei; Zhang Fengzi; Zhu Yuyuan,2026,Journal of molecular biology,10.1016/j.jmb.2026.169815,PubMed
88,pmid_41993330,Decoupling Detection and Classification to Improve Morphological Phenotype Analysis of Sickle Red Blood Cells in Full-Scope Microscopy.,Ma Suqiang; Xu Mengjia; Dao Ming; Li He,2026,bioRxiv : the preprint server for biology,10.64898/2026.03.31.715578,PubMed
89,pmid_41889931,pertTF: context-aware AI modeling for genome-scale and cross-system perturbation prediction.,Su Yangqi; Liu Dingyu; Menon Vipin; Song Bicna; Boccara Samuel,2026,bioRxiv : the preprint server for biology,10.64898/2026.03.12.711379,PubMed
90,pmid_41713397,From modality-specific to compositional foundation models for cell biology.,Bahrami Mojtaba; Richter Till; Schmacke Niklas A; Egea Lavandera Aitana; Theis Fabian J,2026,Cell Systems,10.1016/j.cels.2026.101534,PubMed
91,pmid_41708854,Clinical-grade autonomous cytopathology through whole-slide edge tomography.,Nitta Nao; Sugiyama Yuko; Sugimura Takeaki; Ito Takahiko; Ikebata Koichi,2026,Nature,10.1038/s41586-025-10094-y,PubMed
92,pmid_41619215,Advances and challenges in single-cell RNA sequencing data analysis: a comprehensive review.,Nesari Ali Mohammad; MotieGhader Habib; Ghorbian Saeid,2026,Bioinformatics,10.1093/bib/bbaf723,PubMed
93,crossref_10.64898_2026.03.10.710748,Benchmarking zero-shot single-cell foundation model embeddings for cellular dynamics reconstruction,Zhou Xueya; Wang Zihan; Ling Yue; Tian Qinxue; Zhang Zhenyi,2026,,10.64898/2026.03.10.710748,Crossref
94,crossref_10.64898_2026.03.26.714643,CCIDeconv: Hierarchical model for deconvolution of subcellular cell-cell interactions in single-cell data,Jayakumar Rojashree; Panwar Pratibha; Yang Jean Yee Hwa; Ghazanfar Shila,2026,,10.64898/2026.03.26.714643,Crossref
95,crossref_10.2139_ssrn.6223742,ECIT: A Physics-Informed Transformer for Complete Charging Curve Prediction and State Estimation of Lithium-Ion Batteries,Qi Miao; Yin Mingxin; yan weiwu; Ding Xingyuan; Wang Peng,2026,,10.2139/ssrn.6223742,Crossref
96,crossref_10.2139_ssrn.6278067,Equivalent Circuit-Informed Transformer: A Physics-Informed Transformer for Complete Charging Curve Prediction and State Estimation of Lithium-Ion Batteries,Qi Miao; Yin Mingxin; yan weiwu; Ding Xingyuan; Wang Peng,2026,,10.2139/ssrn.6278067,Crossref
97,crossref_10.2139_ssrn.6543208,A CEEMDAN–Transformer–BiLSTM Fusion Network for Accurate State of Health Prediction of Lithium-ion Batteries,Zhang Yunlong; Bi Xiaolei; Wang Shiqiang; Tao Bin,2026,,10.2139/ssrn.6543208,Crossref
98,crossref_10.26434_chemrxiv-2026-xfqfx,ReactFormer: A Reaction-Aware Graph Transformer for Barrier Height Prediction without Explicit Transition State Geometries,Han Bowen; Miao Jiarui,2026,,10.26434/chemrxiv-2026-xfqfx,Crossref
99,pmid_41231622,A transformer-based deep learning model for preoperative prediction of lymphovascular invasion in laryngeal squamous cell carcinoma: a multicenter study.,Yan Helei; Yao Jiaxin; Hou Jing; Liu Lei; Li Yizhen,2026,"International journal of surgery (London, England)",10.1097/JS9.0000000000004012,PubMed
100,pmid_41352488,"A modern AI framework integrating deep imputation, synthetic data balancing, and explainable modeling for survival prediction in horse colic.",Ozger Zeynep Banu; Cihan Pnar; Ozaydin Isa,2026,Annals of anatomy = Anatomischer Anzeiger : official organ of the Anatomische Gesellschaft,10.1016/j.aanat.2025.152767,PubMed
101,pmid_41271574,Delayformer: Spatiotemporal Transformation for Predicting High-Dimensional Dynamics.,Wang Zijian; Tao Peng; Chen Luonan,2026,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",10.1002/advs.202514671,PubMed
102,pmid_41459773,"Spectral Cruncher: A Visualization Tool Integrating Manual Curation, Ion-Intensity Prediction, and De Novo Tag Generation.",Martins Aline A M; Tsu Blake L; Brum Hulyana; Sales Lucas; Mariano Dos Santos Marlon Dias,2026,Journal of the American Society for Mass Spectrometry,10.1021/jasms.5c00301,PubMed
103,pmid_41446109,Comprehensive perturbation of transcription factors in human cardiomyocytes reveals the regulatory architecture of congenital heart disease.,Takeuchi Chikara; Sivakumar Sushama; Sundarrajan Anjana; Wang Yihan; Goetsch Sean C,2026,bioRxiv : the preprint server for biology,10.64898/2025.12.15.694070,PubMed
104,pmid_41435823,DynamicGT: A dynamic-aware geometric transformer model to predict protein-binding interfaces in flexible and disordered regions.,Mokhtari Omid; Grudinin Sergei; Karami Yasaman; Khakzad Hamed,2026,Cell Systems,10.1016/j.cels.2025.101454,PubMed
105,pmid_41422407,EvoZymePro-Cat: A Protein-Ligand-Aware Deep Learning Framework for Predicting Mutation Effects in Enzyme Function.,Xu Ran; Li Xinkang; Sui Jianan; Wu Lei; Ling Chen,2026,ACS synthetic biology,10.1021/acssynbio.5c00755,PubMed
